53654	n	44.8953,1.9186,45.7342,2.4184	[[[448953,21400,10,-222,33,-219,53,-215,75,-209,94,-201,113,-190,132,-178,148,-165,163,-149,177,-132,190,-114,199,-95,208,-75,143,-36,426,0,9,-14,493,232,378,178,110,35,215,46,340,196,3394,1958,1063,612,223,126,-205,343,-263,357,-289,321,-2776,594,-719,-1564,-21,36,-132,178,-148,165,-163,149,-177,132,-190,114,-199,95,-208,75,-214,54,-218,32,-220,11,-220,-11,-218,-32,-214,-54,-208,-75,-199,-95,-190,-114,-177,-132,-163,-149,-148,-165,-132,-178,-113,-190,-94,-201,-75,-209,-53,-215,-33,-219,-10,-222]]]
64021	n	42.952,9.7139,43.658,10.1961	[[[429520,99400,11,-222,33,-219,54,-215,76,-209,95,-201,115,-190,134,-178,150,-165,166,-149,179,-132,192,-114,202,-95,211,-75,217,-54,222,-32,223,-11,223,11,222,32,217,54,211,75,202,95,192,114,179,132,31,28,0,2,150,-71,211,-75,217,-54,122,-18,2545,1772,1,0,9,6,4,17,33,219,11,222,-11,222,-33,219,-54,215,-75,209,-96,201,-115,190,-133,178,-151,165,-165,149,-180,132,-192,114,-202,95,-211,75,-217,54,-222,32,-223,11,-223,-11,-222,-32,-217,-54,-211,-75,-202,-95,-192,-114,-180,-132,-30,-28,0,-2,-150,71,-211,75,-217,54,-222,32,-223,11,-223,-11,-222,-32,-217,-54,-211,-75,-202,-95,-192,-114,-179,-132,-166,-149,-150,-165,-134,-178,-115,-190,-95,-201,-76,-209,-54,-215,-33,-219,-11,-222]]]
57289	n	43.8322,9.3339,44.2877,9.7861	[[[438323,95600,11,-222,32,-219,55,-215,75,-209,96,-201,114,-190,134,-178,150,-165,165,-149,180,-132,191,-114,202,-95,211,-75,217,-54,221,-32,223,-11,223,11,221,32,217,54,211,75,202,95,191,114,180,132,165,149,150,165,134,178,114,190,96,201,75,209,55,215,32,219,11,222,-11,222,-32,219,-55,215,-75,209,-96,201,-114,190,-134,178,-150,165,-165,149,-180,132,-191,114,-202,95,-211,75,-217,54,-221,32,-223,11,-223,-11,-221,-32,-217,-54,-211,-75,-202,-95,-191,-114,-180,-132,-165,-149,-150,-165,-134,-178,-114,-190,-96,-201,-75,-209,-55,-215,-32,-219,-11,-222]]]
64435	r	44.1496,9.9402,46.0448,11.0696	[[[441496,103207,804,-407,5000,-3300,1668,-98,2032,2298,8000,-700,1100,-200,238,6916,110,2035,-547,305,-602,218,-269,176,-309,135,-326,83,-336,28,-386,-34,-528,-142,-346,-132,-316,-191,-340,-304,-406,-255,-240,-44,-285,-92,-294,-149,-411,-313,-165,-194,-206,-124,-242,-109,-547,37,-255,-16,-316,-57,-428,-149,-266,-149,-348,-282,-270,-324,-178,-163,-209,-242,-358,-170,-379,-73,-374,-144,-346,-213,-234,-198,-485,-214,-235,-146,-211,39,-986,45,-398,-39,-678,-131,-574,-179,-1065,154,-336,17,-305,-37,-222,90,-1241,-1594,-1154,-1268]]]
55671	r	41.0608,-1.0391,43.2158,0.387	[[[410609,-2514,7716,-5724,1383,-1590,55,-86,-37,-113,-63,-74,9,-60,113,-13,41,-39,64,111,79,74,203,145,59,-16,73,160,-13,123,21,52,162,159,111,194,118,128,80,36,50,54,43,177,145,189,5,38,-34,26,-10,-44,1,44,-42,43,-120,61,-5,-2,1,27,-113,24,117,30,131,-51,177,-12,129,88,200,69,35,-38,56,83,231,149,91,160,164,161,80,118,89,72,109,169,23,89,111,142,56,31,89,-5,-19,99,39,92,249,324,23,12,15,-20,5,61,97,139,113,137,44,10,2,66,36,64,426,546,149,166,93,48,97,154,94,79,131,211,195,204,87,40,111,166,6,4,62,20,61,-14,6,-15,-31,-7,9,-55,-21,-13,33,-48,25,15,-1,-29,36,39,101,166,-10,9,-110,98,37,119,119,85,63,117,33,11,64,115,147,179,134,89,75,9,90,-32,50,-69,-77,-97,-40,-21,-27,12,28,-23,131,91,29,60,-42,-2,-5,65,38,28,17,-25,23,72,-41,-42,-32,43,2,39,59,39,24,-11,-12,-39,17,7,21,103,56,51,-18,18,31,167,106,197,150,165,35,9,12,55,103,131,265,203,724,713,569,463,1208,1324,1991,2203,947,929,309,303,-19615,404,-436,-821,-403,-896,-344,-921,-284,-941,-222,-958,-159,-971,-86,-876],[421420,-8275,18,11,18,-20,-36,9],[424687,-4529,6,0,12,-11,2,-5,-20,16]],[[420186,-10322,2,-69,50,98,-52,-29]],[[420217,-10206,54,-31,51,5,-2,-21,19,13,44,79,-7,27,30,0,77,74,14,19,-24,-2,4,28,29,21,9,-15,28,41,-21,12,54,118,-61,-70,-18,26,-3,-44,-25,40,-25,-25,9,-36,-13,28,-33,-8,-12,-40,22,28,10,-55,-35,0,1,23,-3,-40,-2,1,0,-5,2,0,0,1,-1,-16,-31,-14,-32,15,2,-50,-111,-127]],[[421281,-9059,92,70,39,-7,73,160,301,312,63,32,46,84,-91,-79,-33,15,-18,-29,-47,18,-35,-97,-79,-103,-45,-15,-32,-56,-88,-67,-70,-144,-76,-94]],[[421898,-8403,259,267,118,136,-14,9,-86,-100,-277,-312]],[[422324,-7936,84,113,-16,10,-26,-46,-28,6,15,-24,-29,-59]],[[422624,-7508,141,143,330,360,-41,-16,-97,-130,-68,-30,-38,-70,-54,2,-173,-259]],[[423208,-6525,32,-94,36,-18,8,68,36,-9,-4,-33,58,72,37,90,91,90,-9,54,37,23,-33,74,-124,-104,33,-5,-49,-95,-52,-7,-46,26,-38,-40,43,25,21,-47,-4,38,32,-18,-24,-22,10,-45,-22,-50,-6,96,-45,16,14,-52,-32,-33]],[[425059,-4369,11,-33,27,0,9,56,-47,-23]]]
54225	r	44.38,1.5,45.1126,2.0914	[[[443800,15300,500,-300,562,93,639,498,1262,785,1359,980,118,47,76,94,1699,1167,1111,522,-9,14,-1546,0,-2079,1714,-912,-3093,-1480,-1121,-400,-400,-500,-700,-400,-300]]]
60149	n	50.9906,11.5519,51.2928,11.8885	[[[509906,117700,11,-222,33,-219,55,-215,76,-209,96,-201,116,-190,134,-178,151,-165,167,-149,181,-132,193,-114,203,-95,212,-75,70,-17,208,269,313,291,170,280,183,165,79,293,-63,471,170,305,110,413,153,325,-254,63,-202,82,-242,32,-232,5,-185,41,-340,182,-195,50,-789,0,-195,65,-43,34,-73,-119,-96,-201,-76,-209,-55,-215,-33,-219,-11,-222]]]
52407	p	64021
64536	n	43.4251,2.8839,43.8749,3.3361	[[[434251,31100,11,-222,32,-219,54,-215,74,-209,94,-201,114,-190,131,-178,149,-165,163,-149,177,-132,190,-114,199,-95,208,-75,214,-54,219,-32,220,-11,220,11,219,32,214,54,208,75,199,95,190,114,177,132,163,149,149,165,131,178,114,190,94,201,74,209,54,215,32,219,11,222,-11,222,-32,219,-54,215,-74,209,-94,201,-114,190,-131,178,-149,165,-163,149,-177,132,-190,114,-199,95,-208,75,-214,54,-219,32,-220,11,-220,-11,-219,-32,-214,-54,-208,-75,-199,-95,-190,-114,-177,-132,-163,-149,-149,-165,-131,-178,-114,-190,-94,-201,-74,-209,-54,-215,-32,-219,-11,-222]]]
63400	r	45.4109,5.0308,47.3459,6.776	[[[454109,55364,2479,-3583,6112,5119,251,293,7109,-6885,268,167,769,551,731,601,690,647,647,690,294,360,-6324,14436,-465,-449,-486,-469,-203,-196,-449,-431,-448,-432,-204,-197,-210,-203,-431,-416,-610,-624,-608,-626,-611,-625,-611,-625,-384,-393,-2930,-2481,-4376,-4229],[455913,56201,228,250,1073,1172,1073,1172,657,718,88,-65,164,-149,149,-165,132,-178,114,-190,94,-201,75,-209,54,-215,32,-219,11,-222,-11,-222,-32,-219,-54,-215,-75,-209,-94,-201,-114,-190,-132,-178,-149,-165,-164,-149,-178,-132,-190,-114,-200,-95,-209,-75,-215,-54,-219,-32,-221,-11,-221,11,-219,32,-215,54,-209,75,-200,95,-190,114,-178,132,-164,149,-91,100]]]
63795	n	45.3023,9.2939,45.7577,9.7461	[[[453023,95200,11,-222,33,-219,54,-215,75,-209,96,-201,115,-190,133,-178,150,-165,165,-149,180,-132,192,-114,202,-95,210,-75,217,-54,221,-32,223,-11,223,11,221,32,217,54,210,75,202,95,192,114,180,132,165,149,150,165,133,178,115,190,96,201,75,209,54,215,33,219,11,222,-11,222,-33,219,-54,215,-75,209,-96,201,-115,190,-133,178,-150,165,-165,149,-180,132,-192,114,-202,95,-210,75,-217,54,-221,32,-223,11,-223,-11,-221,-32,-217,-54,-210,-75,-202,-95,-192,-114,-180,-132,-165,-149,-150,-165,-133,-178,-115,-190,-96,-201,-75,-209,-54,-215,-33,-219,-11,-222]]]
56055	n	41.4558,-1.6785,41.7151,-1.4139	[[[414558,-14590,1031,-1396,5,-635,-24,-58,180,153,356,594,227,129,188,152,376,756,191,294,63,79,-3,2,-189,114,-199,95,-208,75,-214,54,-218,32,-220,11,-220,-11,-218,-32,-214,-54,-208,-75,-199,-95,-189,-114,-94,-70]],[[415524,-16785,86,88,-48,0,-38,-88]]]
58831	n	43.3922,9.4739,43.8478,9.9236	[[[433922,97000,11,-222,32,-219,55,-215,75,-209,96,-201,115,-190,133,-178,150,-165,166,-149,179,-132,192,-114,202,-95,211,-75,217,-54,221,-32,223,-11,223,11,221,32,217,54,211,75,202,95,192,114,179,132,166,149,150,165,133,178,115,190,96,201,75,209,55,215,32,219,11,222,-11,222,-32,219,-55,215,-75,209,-96,201,-115,190,-133,178,-150,165,-166,149,-179,132,-192,114,-202,95,-211,75,-217,54,-122,18,-2552,-1777,-5,-18,-32,-219,-11,-222]]]
64013	n	48.9533,11.0539,49.409,11.3454	[[[489533,112500,21,-141,55,-215,75,-209,96,-201,116,-190,134,-178,151,-165,166,-149,181,-132,192,-114,204,-95,211,-75,218,-54,223,-32,224,-11,224,11,223,32,218,54,211,75,204,95,192,114,181,132,166,149,151,165,134,178,116,190,96,201,75,209,55,215,33,219,11,222,-11,222,-33,219,-42,165,-3,-1,-644,-59,-103,5,-95,54,-124,49,-102,-74,-152,-210,-385,-167,-1312,-237,-1316,-252,-235,-14]]]
12212406	n	41.7419,3.7039,42.1051,4.1216	[[[417419,37517,130,-97,190,-114,200,-95,208,-75,214,-54,218,-32,221,-11,221,11,218,32,214,54,208,75,200,95,190,114,177,132,164,149,148,165,132,178,113,190,95,201,74,209,54,215,32,219,11,222,-11,222,-32,219,-54,215,-74,209,-95,201,-113,190,-132,178,-148,165,-164,149,-177,132,-61,36,-578,-354,-177,-156,-69,-195,9,-306,-53,-125,-137,-111,-135,-197,-8,-11,13,12,95,45,32,-24,86,33,-369,-508,-124,-130,12,-83,-1168,-1589]]]
342803	n	45.5912,5.5439,45.9857,5.9513	[[[455913,56201,91,-100,164,-149,178,-132,190,-114,200,-95,209,-75,215,-54,219,-32,221,-11,221,11,219,32,215,54,209,75,200,95,190,114,178,132,164,149,149,165,132,178,114,190,94,201,75,209,54,215,32,219,11,222,-11,222,-32,219,-54,215,-75,209,-94,201,-114,190,-132,178,-149,165,-164,149,-88,65,-657,-718,-1073,-1172,-1073,-1172,-228,-250]]]
65785	p	53654
59611	n	47.2038,6.5439,47.6562,6.9961	[[[472038,67700,11,-222,33,-219,54,-215,75,-209,94,-201,115,-190,132,-178,149,-165,164,-149,179,-132,190,-114,201,-95,209,-75,215,-54,219,-32,222,-11,222,11,219,32,215,54,209,75,201,95,190,114,179,132,164,149,149,165,132,178,115,190,94,201,75,209,54,215,33,219,11,222,-11,222,-33,219,-54,215,-75,209,-94,201,-115,190,-132,178,-149,165,-164,149,-179,132,-190,114,-201,95,-209,75,-215,54,-219,32,-222,11,-222,-11,-219,-32,-215,-54,-209,-75,-201,-95,-190,-114,-179,-132,-164,-149,-149,-165,-132,-178,-115,-190,-94,-201,-75,-209,-54,-215,-33,-219,-11,-222]]]
400769	n	47.1329,8.2539,47.5871,8.7061	[[[471329,84800,11,-222,33,-219,54,-215,75,-209,96,-201,114,-190,133,-178,149,-165,166,-149,179,-132,191,-114,201,-95,210,-75,216,-54,220,-32,223,-11,223,11,220,32,216,54,210,75,201,95,191,114,179,132,166,149,149,165,133,178,114,190,96,201,75,209,54,215,33,219,11,222,-11,222,-33,219,-54,215,-75,209,-96,201,-114,190,-133,178,-149,165,-166,149,-179,132,-191,114,-201,95,-210,75,-216,54,-220,32,-223,11,-223,-11,-220,-32,-216,-54,-210,-75,-201,-95,-191,-114,-179,-132,-166,-149,-149,-165,-133,-178,-114,-190,-96,-201,-75,-209,-54,-215,-33,-219,-11,-222]]]
58933	n	48.253,8.1739,48.707,8.6261	[[[482530,84000,11,-222,32,-219,55,-215,75,-209,95,-201,114,-190,133,-178,150,-165,165,-149,179,-132,191,-114,201,-95,210,-75,216,-54,220,-32,223,-11,223,11,220,32,216,54,210,75,201,95,191,114,179,132,165,149,150,165,133,178,114,190,95,201,75,209,55,215,32,219,11,222,-11,222,-32,219,-55,215,-75,209,-95,201,-114,190,-133,178,-150,165,-165,149,-179,132,-191,114,-201,95,-210,75,-216,54,-220,32,-223,11,-223,-11,-220,-32,-216,-54,-210,-75,-143,-67,-397,-601,-600,-909,-255,-387,-6,-125]]]
64460	n	44.9747,4.5138,45.4253,4.9661	[[[449747,47400,10,-222,33,-219,54,-215,74,-209,95,-201,113,-190,132,-178,149,-165,163,-149,178,-132,190,-114,200,-95,208,-75,214,-54,219,-32,221,-11,221,11,219,32,214,54,208,75,200,95,190,114,178,132,163,149,149,165,132,178,113,190,95,201,74,209,54,215,33,219,10,222,-10,222,-33,219,-54,215,-74,209,-95,201,-113,190,-132,178,-149,165,-163,149,-178,132,-190,114,-200,95,-208,75,-214,54,-219,32,-221,11,-221,-11,-219,-32,-214,-54,-208,-75,-200,-95,-190,-114,-178,-132,-163,-149,-149,-165,-132,-178,-113,-190,-95,-201,-74,-209,-54,-215,-33,-219,-10,-222]]]
