3441575	r	-56.5342,-34.9412,-55.6614,-34.5697	[[[-565342,-347300,7,-170,17,-143,114,65,353,13,367,-48,527,-176,196,-68,146,-137,-16,-25,13,22,-105,-22,-43,5,-17,8,-39,-7,-66,3,-8,-5,7,-1,-7,-20,-46,-29,-38,-19,-32,-1,5,-4,-27,-10,-7,-11,-16,-1,13,-20,-25,-16,-2,-28,-12,-4,0,-6,-17,7,13,-9,-3,-11,-46,-6,-6,-14,-33,-12,4,-8,-15,-17,-30,0,-53,-44,-43,-9,0,-20,6,-10,15,-1,-8,-10,10,-14,-2,-14,32,-6,11,-24,35,-2,23,-17,3,-17,3,-17,155,-117,601,-293,273,-192,-4,-13,26,-3,20,-14,233,27,222,-28,95,1,198,133,53,136,13,-5,10,19,78,-9,-3,-9,12,-5,-6,-17,-49,7,41,-12,12,5,10,29,48,-6,111,-79,0,-1,-6,0,-10,-11,6,-13,7,-4,-9,-83,-12,-13,-16,10,-15,-7,21,-14,-6,-6,-41,-13,-31,16,15,-32,-9,-3,-30,19,-59,-30,6,-8,-8,-9,5,-15,34,-30,-37,-13,82,26,45,-11,61,13,6,0,32,-10,-1,-2,8,-7,26,-1,26,-8,46,-8,47,-18,29,6,50,-8,57,-67,-5,-14,29,-14,52,-62,4,-14,10,-1,21,-25,1,-20,5,13,38,-45,49,164,0,1,6,21,59,31,-9,7,-20,-3,120,63,21,10,17,-4,17,10,2,11,247,117,39,-3,2,-4,-5,-6,11,-2,10,9,-7,1,1,1,176,-13,2,-4,17,2,1,1,109,-8,23,12,-1,-1,28,2,19,9,21,22,565,275,497,297,653,359,303,104,667,190,356,-86,631,180,320,-112,-81,218,-22,48,-2398,-295,30,149,20,169,7,170,-7,170,-20,169,-34,168,-47,166,-59,163,-73,159,-84,155,-97,150,-109,144,-120,138,-20,21,-5556,-1108,-31,-156,-20,-169,-7,-170],[-561638,-349321,10,-12,-5,0,-5,12]]]
3440714	r	-58.0752,-31.6873,-57.6141,-31.101	[[[-580752,-314752,244,-256,118,-78,257,-170,265,-285,72,-447,-90,-440,-113,-288,-51,-131,224,-19,226,-7,226,7,225,19,224,32,220,44,217,56,212,69,206,80,199,92,193,102,184,114,175,123,165,133,154,142,144,150,132,159,119,165,107,171,93,177,80,183,66,186,51,189,37,192,22,194,8,194,-8,194,-22,194,-37,192,-51,189,-66,186,-80,183,-93,177,-107,171,-119,165,-132,159,-144,150,-154,142,-165,133,-175,123,-184,114,-193,102,-199,92,-206,80,-212,69,-217,56,-93,19,-192,-255,-4,-12,-123,-429,67,-444,-1,-260,-97,-115,-208,-378,-74,-65,-165,-112,-69,-66,-92,-205,-32,-299,-42,7,-19,-9,33,-79,17,-22,-6,-52,-33,-63,-4,-17,-14,-18,-46,-90,-157,-117,-377,-196,-190,-137,-126,-309]]]
3441894	r	-55.2998,-34.9734,-54.6079,-34.6086	[[[-552998,-348615,133,-147,263,-214,385,-61,919,178,477,19,217,-38,91,-36,102,-62,66,-89,-10,-64,24,-39,395,-42,179,-75,135,-111,104,-133,0,-41,-22,-63,-46,-101,193,35,256,247,200,60,210,30,1732,688,426,108,204,78,286,198,-13,44,-67,183,-81,178,-95,174,-109,168,-122,162,-135,155,-146,147,-158,139,-168,131,-179,121,-188,111,-196,100,-203,90,-211,79,-216,67,-221,55,-225,44,-227,31,-230,18,-231,7,-231,-7,-230,-18,-227,-31,-198,-38,-1180,-460,-82,-48,-179,-121,-168,-131,-158,-139,-146,-147,-135,-155,-122,-162,-109,-168,-95,-174,-81,-178,-67,-183,-53,-186,-37,-183]]]
3440781	r	-55.8287,-31.1883,-55.3399,-30.8434	[[[-558287,-310496,108,-150,123,-148,134,-141,144,-133,154,-124,163,-116,171,-106,179,-96,186,-86,192,-75,197,-64,202,-53,205,-42,208,-29,210,-18,211,-6,211,6,210,18,208,29,205,42,202,53,197,64,192,75,186,86,179,96,171,106,140,99,-51,124,-34,352,-10,9,-8,20,3,21,-1,5,-9,2,-14,-28,-20,13,-55,16,11,49,21,6,32,42,-5,15,-147,189,-158,154,-20,16,-10,-2,-55,-51,-74,-29,-5,14,-42,-2,-21,87,-44,11,-36,31,-28,-12,-11,6,-25,-12,-14,-19,-17,16,-3,48,-58,17,-4,25,-61,28,27,39,-30,66,15,21,35,-7,8,4,29,25,-3,34,45,16,-17,36,-15,3,-38,30,-13,32,-34,33,-18,-9,4,23,-49,46,-74,58,-22,-6,-5,15,6,7,-100,77,-13,4,-14,-6,-15,-24,-25,-15,-16,3,-16,18,-53,-1,-11,-12,-81,62,-9,53,-26,28,12,24,-7,37,17,27,-13,10,-48,51,-42,-24,-59,23,-29,46,5,19,-17,37,-10,5,-2,4,-10,74,23,12,0,7,-20,25,-68,31,-20,3,-24,-5,-36,9,-22,-20,-21,7,-33,-31,-16,38,4,13,-29,18,-5,-5,-87,54,-51,68,-11,20,7,12,-12,17,8,21,-29,41,-34,11,-29,24,-35,-56,-38,27,-1,0,-237,238,-76,17,-4,-10,-14,2,-32,-15,3,-9,-15,1,-22,16,-29,-2,-22,49,-111,-22,-1,-2,-45,-22,-16,11,-37,-7,-113,-97,1,-3,-47,-85,-12,1,-35,-127,3,-31,15,-15,-13,-11,3,-36,6,-16,-4,-5,1,-12,2,-5,-2,0,4,-48,12,-1,15,-32,-8,-14,24,-1,7,-13,-18,-16,18,-24,31,-23,-7,-11,23,-3,11,-11,-12,-13,8,-14,-11,-19,-34,-25,-5,-17,8,-6,-15,-21,-29,0,-14,-160,-60,-47,3,-1,-25,-29,-7,-19,-18,12,-13,-11,-14,-55,-28,7,-27,-2,0,-18,-20,-7,-27,0,-99,36,-22,-1,-10,49,-75,13,-2,-3,0,-16,-18,-3,-13,-11,-36,-56,-33,9,-21,-3,-18,50,-25,15,-7,-2,-20,24,2,21,-71,-7,22,-10,-33,-62,0,-17,20,-39,-35,-54,7,-28,8,-5,-56,-49,-16,-32,4,-17,29,-36,-57,-19,-71,25,-33,1,-13,-9,-10,2,-8,-18,3,-14,11,-5,-3,-15,6,-7,-14,-35,-16,-2,-4,-14,-14,-13,5,-27,-23,-41,-43,8,-20,-17,-4,0,-47,-90,-145,-120,-384,-222,-2,-1,-120,-69]]]
3441243	r	-58.2001,-32.5794,-57.7751,-32.0606	[[[-582001,-324472,27,-226,203,-752,80,-158,75,-90,27,-7,194,-39,197,-28,199,-16,199,-6,199,6,199,16,197,28,194,39,191,49,187,60,181,70,176,80,170,89,162,99,154,108,146,116,136,124,127,131,116,138,105,144,94,150,83,154,70,159,58,163,45,165,33,167,19,169,7,170,-7,170,-19,169,-33,167,-45,165,-58,163,-70,159,-83,154,-94,150,-105,144,-116,138,-127,131,-136,124,-146,116,-154,108,-162,99,-170,89,-176,80,-181,70,-187,60,-191,49,-194,39,-197,28,-199,16,-199,6,-199,-6,-199,-16,-197,-28,-100,-20,-93,-340,-221,-309,-56,-204,113,-212,238,-271,24,0,115,-140,5,7,37,-29,49,-84,8,-25,207,-235,6,-17,5,-1,12,-30,1,-19,80,-225,-51,-304,-7,-8,-26,-20,8,-2,-372,-460,-236,-291,-251,-444,-97,-109,-4,-24]]]
3442057	p	3441575
3440034	r	-56.3084,-32.0013,-55.6516,-31.4387	[[[-563084,-317200,7,-184,21,-183,35,-182,49,-179,62,-176,76,-172,88,-168,102,-162,113,-157,125,-149,137,-143,147,-134,156,-126,167,-116,174,-108,183,-97,189,-87,196,-76,201,-64,206,-54,209,-42,212,-30,214,-18,215,-6,215,6,214,18,212,30,209,42,206,54,201,64,196,76,189,87,183,97,174,108,167,116,156,126,147,134,137,143,125,149,113,157,102,162,88,168,76,172,62,176,49,179,35,182,21,183,7,184,-7,184,-21,183,-35,182,-49,179,-62,176,-76,172,-88,168,-102,162,-113,157,-125,149,-137,143,-147,134,-156,126,-167,116,-174,108,-183,97,-189,87,-196,76,-201,64,-206,54,-209,42,-212,30,-214,18,-215,6,-215,-6,-214,-18,-212,-30,-209,-42,-206,-54,-201,-64,-196,-76,-189,-87,-183,-97,-174,-108,-167,-116,-156,-126,-147,-134,-137,-143,-125,-149,-113,-157,-102,-162,-88,-168,-76,-172,-62,-176,-49,-179,-35,-182,-21,-183,-7,-184]]]
3441702	r	-54.472,-32.6353,-53.848,-32.1047	[[[-544720,-323700,7,-174,20,-172,33,-172,46,-169,60,-166,71,-162,85,-158,96,-154,108,-147,119,-141,129,-134,140,-127,149,-119,158,-110,166,-101,173,-92,180,-81,186,-72,191,-61,195,-51,199,-39,202,-28,203,-17,204,-6,204,6,203,17,202,28,199,39,195,51,191,61,186,72,180,81,173,92,166,101,158,110,149,119,140,127,129,134,119,141,108,147,96,154,85,158,71,162,60,166,46,169,33,172,20,172,7,174,-7,174,-20,172,-33,172,-46,169,-60,166,-71,162,-85,158,-96,154,-108,147,-119,141,-129,134,-140,127,-149,119,-158,110,-166,101,-173,92,-180,81,-186,72,-191,61,-195,51,-199,39,-202,28,-203,17,-204,6,-204,-6,-203,-17,-202,-28,-199,-39,-195,-51,-191,-61,-186,-72,-180,-81,-173,-92,-166,-101,-158,-110,-149,-119,-140,-127,-129,-134,-119,-141,-108,-147,-96,-154,-85,-158,-71,-162,-60,-166,-46,-169,-33,-172,-20,-172,-7,-174]]]
3443758	r	-56.7726,-30.6628,-56.2561,-30.2095	[[[-567726,-304000,7,-172,19,-171,32,-170,45,-167,58,-165,69,-161,82,-156,93,-152,105,-146,115,-140,126,-133,135,-125,145,-118,153,-109,161,-100,168,-91,175,-81,180,-71,185,-60,190,-50,193,-39,195,-28,197,-17,198,-6,198,6,197,17,195,28,193,39,190,50,185,60,180,71,175,81,168,91,161,100,153,109,133,109,-38,16,-11,13,0,12,3,9,20,16,-19,78,12,28,29,11,15,13,-16,51,-76,76,-101,-61,-57,-2,-5,5,28,42,5,27,-15,24,-48,41,-2,23,-31,35,-6,49,-380,278,-433,210,-28,14,-134,101,-145,169,-241,353,-167,148,-133,74,-11,33,-4,48,-51,74,-30,6,-25,-2,-22,-16,-75,-23,-182,101,-167,133,-125,87,-370,368,-88,125,-54,56,-108,59,-98,11,-96,-2,-102,23,-159,86,-11,65,31,105,-33,202,-92,136,-150,126,-169,100,-44,18,-59,-47,-135,-125,-126,-133,-115,-140,-105,-146,-93,-152,-82,-156,-69,-161,-58,-165,-45,-167,-32,-170,-19,-171,-7,-172]]]
3441684	r	-58.2933,-33.5024,-57.7303,-32.9976	[[[-582933,-333704,37,-58,104,-140,114,-134,125,-128,134,-120,143,-113,151,-105,160,-96,166,-87,173,-78,179,-68,184,-59,187,-48,191,-37,194,-27,195,-16,196,-6,196,6,195,16,194,27,191,37,187,48,184,59,179,68,173,78,166,87,160,96,151,105,143,113,134,120,125,128,114,134,104,140,92,146,81,150,69,155,57,158,45,161,32,163,19,164,6,165,-6,165,-19,164,-32,163,-45,161,-57,158,-69,155,-81,150,-92,146,-104,140,-114,134,-125,128,-134,120,-143,113,-151,105,-160,96,-166,87,-173,78,-179,68,-184,59,-187,48,-191,37,-194,27,-195,16,-196,6,-157,-5,-2476,-3723]]]
